,STAG,Ausgewählte Aufenthaltstitel,Value
252,2019-12-31,Antrag auf einen Aufenthaltstitel gestellt,304695
253,2019-12-31,Aufenthaltsgestattung,263430
254,2019-12-31,Aufenthaltsrecht nach FreizügG/EU,5039550
255,2019-12-31,"Befristete AE, besondere Gründe und nationale Visa",129245
256,2019-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",1125535
257,2019-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",232570
258,2019-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",258935
259,2019-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",841125
260,2019-12-31,Duldung,203540
261,2019-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",336605
262,2019-12-31,Unbefristete Niederlassungserlaubnis,2484235
263,2019-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,8840
264,2020-12-31,Antrag auf einen Aufenthaltstitel gestellt,410565
265,2020-12-31,Aufenthaltsgestattung,212540
266,2020-12-31,Aufenthaltsrecht nach FreizügG/EU,5153700
267,2020-12-31,"Befristete AE, besondere Gründe und nationale Visa",123340
268,2020-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",1149685
269,2020-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",210070
270,2020-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",274525
271,2020-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",828570
272,2020-12-31,Duldung,235050
273,2020-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",326955
274,2020-12-31,Unbefristete Niederlassungserlaubnis,2498740
275,2020-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,8705
276,2021-12-31,Antrag auf einen Aufenthaltstitel gestellt,471520
277,2021-12-31,Aufenthaltsgestattung,229800
278,2021-12-31,Aufenthaltsrecht nach FreizügG/EU,5206435
279,2021-12-31,"Befristete AE, besondere Gründe und nationale Visa",123450
280,2021-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",1165920
281,2021-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",210605
282,2021-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",295380
283,2021-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",853080
284,2021-12-31,Duldung,241255
285,2021-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",450545
286,2021-12-31,Unbefristete Niederlassungserlaubnis,2560335
287,2021-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,9470
288,2022-12-31,Antrag auf einen Aufenthaltstitel gestellt,702855
289,2022-12-31,Aufenthaltsgestattung,274805
290,2022-12-31,Aufenthaltsrecht nach FreizügG/EU,5301635
291,2022-12-31,"Befristete AE, besondere Gründe und nationale Visa",125015
292,2022-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",1950245
293,2022-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",228755
294,2022-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",351405
295,2022-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",898460
