Stichtag,Bundesland,Geschlecht,Ländergruppierungen_Code,Ländergruppierungen_Label,Anzahl,Ausländer
2024-12-31,Bayern,weiblich,EUROPA-EU-27,EU-27 (bis 30.06.2013),413710,Ausländer
2024-12-31,Sachsen-Anhalt,männlich,EUROPA-EU-25,EU-25 (bis 31.12.2006),17115,Ausländer
2024-12-31,Berlin,weiblich,LDR-GB,Vereinigtes Königreich einschl.brit.Überseegebiete,7165,Ausländer
2024-12-31,Brandenburg,männlich,ASIENOST2,Ost- und Zentralasien,10795,Ausländer
2024-12-31,Sachsen-Anhalt,männlich,DRITT-EG-10,Drittstaaten zu EG-10 (bis 31.12.1985),102095,Ausländer
2024-12-31,Thüringen,männlich,AFRIKAZENTR,Zentralafrika,215,Ausländer
2024-12-31,Rheinland-Pfalz,männlich,EUROPA-EG-10,EG-10 (bis 31.12.1985),40460,Ausländer
2024-12-31,Thüringen,männlich,AUSTRALIEN,Australien und Ozeanien,70,Ausländer
2024-12-31,Saarland,weiblich,AMERIKASUD,Südamerika,575,Ausländer
2024-12-31,Berlin,männlich,ASIENVOR,Vorderasien,59765,Ausländer
2024-12-31,Baden-Württemberg,weiblich,AMERIKANORD,Nordamerika,9390,Ausländer
2024-12-31,Niedersachsen,männlich,EUROPA-EG-12,EG-12 (bis 31.12.1994),63830,Ausländer
2024-12-31,Mecklenburg-Vorpommern,weiblich,LDR-GB,Vereinigtes Königreich einschl.brit.Überseegebiete,135,Ausländer
2024-12-31,Brandenburg,männlich,ASIENVOR,Vorderasien,18155,Ausländer
2024-12-31,Brandenburg,weiblich,ASIENOST2,Ost- und Zentralasien,7215,Ausländer
2024-12-31,Saarland,weiblich,AFRIKASUED,Südafrika,75,Ausländer
2024-12-31,Nordrhein-Westfalen,männlich,ASIENSUED2,Süd- und Südostasien,62060,Ausländer
2024-12-31,Sachsen-Anhalt,weiblich,DRITT-EU-25,Drittstaaten zu EU-25 (bis 31.12.2006),72215,Ausländer
